hit_type,num_blockers,block_touch,win_reason,attempts,points_won,point_win_rate
hit,2.0,no,kill,244,243,0.9959016393442623
hit,1.0,no,kill,139,137,0.9856115107913669
hit,2.0,yes,tool,102,101,0.9901960784313726
hit,2.0,no,hit_error,96,3,0.03125
blocked,2.0,yes,blocked,61,0,0.0
hit,2.0,yes,kill,41,40,0.975609756097561
hit,3.0,no,kill,33,33,1.0
blocked,1.0,yes,blocked,32,0,0.0
blocked,2.0,yes,tool,27,27,1.0
blocked,3.0,yes,blocked,25,1,0.04
hit,1.0,no,hit_error,24,0,0.0
hit,3.0,no,hit_error,22,0,0.0
hit,3.0,yes,tool,20,20,1.0
tip,2.0,no,kill,18,17,0.9444444444444444
hit,3.0,yes,kill,17,17,1.0
off_speed,2.0,no,kill,14,13,0.9285714285714286
hit,1.0,yes,tool,13,13,1.0
blocked,2.0,yes,kill,12,0,0.0
hit,2.0,no,net,12,3,0.25
off_speed,2.0,no,hit_error,10,0,0.0
blocked,3.0,yes,kill,8,1,0.125
tip,1.0,no,kill,8,7,0.875
hit,1.0,yes,kill,7,7,1.0
free_ball,0.0,no,hit_error,6,0,0.0
hit,0.0,no,kill,6,6,1.0
off_speed,1.0,no,kill,6,6,1.0
roll_shot,2.0,no,kill,6,6,1.0
tip,2.0,no,hit_error,6,0,0.0
off_speed,2.0,yes,kill,5,5,1.0
off_speed,3.0,no,kill,5,5,1.0
blocked,3.0,yes,tool,4,4,1.0
hit,2.0,yes,error,4,3,0.75
blocked,1.0,yes,kill,3,0,0.0
blocked,1.0,yes,tool,3,3,1.0
off_speed,1.0,no,hit_error,3,1,0.3333333333333333
off_speed,2.0,yes,tool,3,3,1.0
overpass,1.0,yes,blocked,3,0,0.0
roll_shot,3.0,no,kill,3,3,1.0
tip,2.0,yes,kill,3,3,1.0
tip,2.0,yes,tool,3,3,1.0
blocked,1.0,no,blocked,2,0,0.0
blocked,2.0,yes,net,2,2,1.0
dump,2.0,no,kill,2,2,1.0
hit,0.0,no,net,2,0,0.0
hit,1.0,no,error,2,0,0.0
hit,1.0,no,net,2,0,0.0
hit,2.0,no,error,2,2,1.0
hit,2.0,no,tool,2,2,1.0
hit,2.0,yes,net,2,2,1.0
hit,3.0,yes,error,2,0,0.0
hit,3.0,yes,net,2,2,1.0
off_speed,3.0,no,hit_error,2,0,0.0
off_speed,3.0,yes,tool,2,2,1.0
overpass,0.0,no,ace,2,0,0.0
overpass,0.0,no,kill,2,2,1.0
overpass,1.0,yes,error,2,1,0.5
roll_shot,1.0,no,hit_error,2,0,0.0
tip,0.0,no,kill,2,2,1.0
blocked,1.0,yes,net,1,0,0.0
blocked,2.0,no,hit_error,1,0,0.0
blocked,2.0,yes,error,1,0,0.0
dump,0.0,no,hit_error,1,0,0.0
dump,1.0,no,kill,1,1,1.0
dump,2.0,yes,kill,1,1,1.0
free_ball,0.0,no,error,1,0,0.0
free_ball,1.0,no,error,1,0,0.0
free_ball,1.0,no,kill,1,1,1.0
free_ball,2.0,no,error,1,0,0.0
free_ball,,,hit_error,1,0,0.0
hit,0.0,no,hit_error,1,0,0.0
hit,1.0,yes,hit_error,1,0,0.0
hit,2.0,yes,hit_error,1,0,0.0
hit,3.0,no,error,1,0,0.0
hit,3.0,no,net,1,1,1.0
off_speed,0.0,no,net,1,0,0.0
off_speed,1.0,no,error,1,0,0.0
off_speed,1.0,yes,error,1,0,0.0
off_speed,2.0,no,net,1,0,0.0
off_speed,3.0,no,net,1,0,0.0
off_speed,3.0,yes,kill,1,1,1.0
overpass,1.0,no,kill,1,1,1.0
overpass,,,hit_error,1,0,0.0
roll_shot,2.0,no,net,1,0,0.0
roll_shot,2.0,yes,kill,1,1,1.0
roll_shot,3.0,yes,kill,1,1,1.0
tip,0.0,no,hit_error,1,0,0.0
tip,0.0,no,net,1,0,0.0
tip,2.0,no,net,1,1,1.0
tip,3.0,no,hit_error,1,0,0.0
tip,3.0,no,kill,1,1,1.0
tip,3.0,yes,tool,1,1,1.0
