game_id,rally,n_set_rows,n_in,n_out,max_in_run,in_share,out_share,team_a_in_share,team_a_max_in_run,team_a_n_in,team_a_n_out,team_a_n_set_rows,team_a_out_share,team_b_in_share,team_b_max_in_run,team_b_n_in,team_b_n_out,team_b_n_set_rows,team_b_out_share,winning_team
1,1,8,3,5,1,0.375,0.625,0.5,2.0,2.0,2.0,4.0,0.5,0.25,1.0,1.0,3.0,4.0,0.75,a
1,2,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,3,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,a
1,5,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,6,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,a
1,7,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,8,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,9,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,a
1,10,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,11,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,b
1,14,3,2,1,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,b
1,15,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,b
1,16,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,18,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,a
1,19,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
1,20,2,1,1,1,0.5,0.5,,,,,,,0.5,1.0,1.0,1.0,2.0,0.5,a
1,21,2,0,2,0,0.0,1.0,,,,,,,0.0,0.0,0.0,2.0,2.0,1.0,b
1,24,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,25,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,27,3,2,1,2,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0,0.5,a
1,28,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
1,29,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,30,2,1,1,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,b
1,31,5,2,3,1,0.4,0.6,0.6666666666666666,2.0,2.0,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,1.0,b
1,32,3,3,0,3,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,a
1,33,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,34,7,3,4,2,0.42857142857142855,0.5714285714285714,0.5,1.0,2.0,2.0,4.0,0.5,0.3333333333333333,1.0,1.0,2.0,3.0,0.6666666666666666,a
1,35,3,2,1,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,b
1,36,3,3,0,3,1.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,,,,,,,a
1,37,2,1,1,1,0.5,0.5,,,,,,,0.5,1.0,1.0,1.0,2.0,0.5,b
1,38,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,39,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
1,40,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
