rally_set_type,win_reason,rallies,pct_within_set_type
in,kill,447,0.5782664941785253
in,hit_error,132,0.17076326002587322
in,tool,112,0.1448900388098318
in,blocked,46,0.059508408796895215
in,net,22,0.028460543337645538
in,error,14,0.018111254851228976
out,kill,145,0.38461538461538464
out,hit_error,82,0.21750663129973474
out,tool,67,0.17771883289124668
out,blocked,57,0.15119363395225463
out,error,15,0.03978779840848806
out,net,11,0.029177718832891247
,serve_error,247,
,ace,70,
,blocked,20,
,error,4,
,hit_error,3,
,kill,2,
,net,1,
,tool,1,
