hitter_location,hit_land_location,in_system_success,out_system_success,success rate
1.0,8.0,,0.0,0.0
2.0,25.0,,0.0,0.0
3.0,3.0,,0.0,0.0
3.0,6.0,,0.0,0.0
3.0,7.0,,0.0,0.0
3.0,8.0,,0.0,0.0
4.0,2.0,,0.0,0.0
4.0,8.0,,0.0,0.0
5.0,1.0,,0.0,0.0
5.0,6.0,,0.0,0.0
6.0,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666666
6.0,2.0,0.0,0.375,0.25
6.0,3.0,0.6666666666666666,0.14285714285714285,0.3
6.0,4.0,0.75,0.5,0.6666666666666666
6.0,5.0,0.6,1.0,0.6666666666666666
6.0,6.0,0.0,0.0,0.0
6.0,7.0,0.0,0.2,0.16666666666666666
6.0,8.0,1.0,0.0,0.2857142857142857
6.0,9.0,0.5,,0.5
6.0,10.0,1.0,0.5,0.6666666666666666
6.0,11.0,0.0,0.0,0.0
6.0,12.0,,0.0,0.0
6.0,13.0,,0.5,0.5
6.0,14.0,,1.0,1.0
6.0,15.0,,0.0,0.0
6.0,16.0,0.5,,0.5
6.0,17.0,0.0,0.5,0.3333333333333333
6.0,18.0,0.5,,0.5
6.0,20.0,0.4,,0.4
6.0,21.0,0.5,1.0,0.6666666666666666
6.0,22.0,1.0,0.0,0.3333333333333333
6.0,23.0,0.0,1.0,0.5
6.0,24.0,0.5,0.5,0.5
6.0,25.0,,1.0,1.0
7.0,1.0,,1.0,1.0
7.0,2.0,,0.0,0.0
7.0,3.0,,1.0,1.0
7.0,7.0,1.0,0.0,0.2
7.0,8.0,,0.3333333333333333,0.3333333333333333
7.0,9.0,,0.0,0.0
7.0,11.0,,1.0,1.0
7.0,17.0,,0.0,0.0
7.0,21.0,,0.0,0.0
7.0,24.0,,0.0,0.0
7.0,25.0,,0.0,0.0
8.0,1.0,1.0,0.0,0.6666666666666666
8.0,2.0,0.75,0.0,0.42857142857142855
8.0,3.0,0.4,0.0,0.2857142857142857
8.0,4.0,0.6666666666666666,,0.6666666666666666
8.0,5.0,1.0,1.0,1.0
8.0,6.0,0.5,0.0,0.25
8.0,7.0,0.25,0.2,0.2222222222222222
8.0,8.0,0.5,0.0,0.4
8.0,10.0,,0.0,0.0
8.0,12.0,0.0,0.0,0.0
8.0,13.0,,0.0,0.0
8.0,14.0,,0.0,0.0
8.0,15.0,1.0,,1.0
8.0,17.0,1.0,,1.0
8.0,18.0,0.0,1.0,0.25
8.0,19.0,0.0,,0.0
8.0,20.0,0.0,0.0,0.0
8.0,21.0,,1.0,1.0
8.0,22.0,0.0,,0.0
9.0,1.0,0.5,0.0,0.25
9.0,2.0,1.0,0.0,0.6666666666666666
9.0,3.0,0.0,,0.0
9.0,4.0,1.0,,1.0
9.0,5.0,0.0,,0.0
9.0,6.0,0.3333333333333333,,0.3333333333333333
9.0,7.0,1.0,0.2,0.3333333333333333
9.0,8.0,,0.0,0.0
9.0,9.0,0.25,,0.25
9.0,10.0,1.0,1.0,1.0
9.0,12.0,0.5,0.0,0.25
9.0,13.0,1.0,,1.0
9.0,15.0,,0.0,0.0
9.0,20.0,0.0,,0.0
9.0,23.0,,1.0,1.0
9.0,24.0,0.0,,0.0
10.0,2.0,,0.5,0.5
10.0,3.0,,0.0,0.0
10.0,4.0,,0.0,0.0
10.0,5.0,,0.0,0.0
10.0,6.0,,0.0,0.0
10.0,7.0,,0.0,0.0
10.0,8.0,,0.0,0.0
10.0,9.0,,0.0,0.0
10.0,12.0,,0.5,0.5
10.0,15.0,,0.0,0.0
10.0,16.0,,1.0,1.0
10.0,17.0,,0.0,0.0
10.0,21.0,,1.0,1.0
11.0,1.0,0.2631578947368421,0.5,0.3548387096774194
11.0,2.0,0.6153846153846154,0.3333333333333333,0.5625
11.0,3.0,0.4,0.35714285714285715,0.3793103448275862
11.0,4.0,0.7142857142857143,0.6666666666666666,0.7
11.0,5.0,0.5882352941176471,0.6666666666666666,0.6
11.0,6.0,0.75,0.4444444444444444,0.6190476190476191
11.0,7.0,0.6,0.3333333333333333,0.42857142857142855
11.0,8.0,0.6,0.2,0.4666666666666667
11.0,9.0,0.75,0.0,0.375
11.0,10.0,0.5,0.25,0.4166666666666667
11.0,11.0,0.07692307692307693,0.2222222222222222,0.13636363636363635
11.0,12.0,0.1111111111111111,0.0,0.05
11.0,13.0,0.0,0.2727272727272727,0.16666666666666666
11.0,14.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
11.0,15.0,0.375,0.3333333333333333,0.35714285714285715
11.0,16.0,0.75,1.0,0.875
11.0,17.0,0.6666666666666666,0.3333333333333333,0.5555555555555556
11.0,18.0,0.5,0.5,0.5
11.0,19.0,,0.0,0.0
11.0,20.0,0.5,0.0,0.16666666666666666
11.0,21.0,0.2,0.0,0.16666666666666666
11.0,22.0,0.3333333333333333,,0.3333333333333333
11.0,23.0,1.0,,1.0
11.0,24.0,0.3333333333333333,1.0,0.4
11.0,25.0,0.5,0.6666666666666666,0.5454545454545454
11.0,26.0,1.0,1.0,1.0
12.0,1.0,0.3333333333333333,1.0,0.6
12.0,2.0,0.6666666666666666,,0.6666666666666666
12.0,3.0,0.75,0.6666666666666666,0.7142857142857143
12.0,4.0,1.0,,1.0
12.0,5.0,0.0,0.0,0.0
12.0,6.0,0.3333333333333333,0.0,0.2857142857142857
12.0,7.0,0.0,,0.0
12.0,8.0,0.5,0.0,0.4
12.0,9.0,0.6666666666666666,0.0,0.5
12.0,10.0,1.0,0.0,0.6666666666666666
12.0,11.0,0.0,0.0,0.0
12.0,12.0,0.0,0.0,0.0
12.0,14.0,,,
12.0,15.0,,0.0,0.0
12.0,17.0,0.0,,0.0
12.0,18.0,,0.0,0.0
12.0,22.0,,0.0,0.0
12.0,26.0,,1.0,1.0
13.0,1.0,0.5,,0.5
13.0,2.0,0.5833333333333334,,0.5833333333333334
13.0,3.0,0.5555555555555556,1.0,0.5789473684210527
13.0,4.0,0.7692307692307693,,0.7692307692307693
13.0,5.0,0.3333333333333333,0.5,0.36363636363636365
13.0,6.0,0.5833333333333334,0.0,0.4666666666666667
13.0,7.0,0.5625,,0.5625
13.0,8.0,0.5454545454545454,0.0,0.5
13.0,9.0,0.4,0.0,0.38095238095238093
13.0,10.0,0.36363636363636365,0.0,0.3333333333333333
13.0,11.0,0.4,,0.4
13.0,12.0,0.5,0.0,0.3333333333333333
13.0,13.0,0.125,0.3333333333333333,0.15789473684210525
13.0,14.0,0.42857142857142855,,0.42857142857142855
13.0,15.0,,0.0,0.0
13.0,16.0,1.0,,1.0
13.0,17.0,0.75,,0.75
13.0,18.0,0.25,,0.25
13.0,19.0,0.4,,0.4
13.0,20.0,0.3333333333333333,0.0,0.25
13.0,21.0,0.6666666666666666,,0.6666666666666666
13.0,22.0,0.6,,0.6
13.0,23.0,0.5,,0.5
13.0,24.0,0.2,,0.2
13.0,25.0,0.6666666666666666,,0.6666666666666666
13.0,26.0,1.0,,1.0
14.0,1.0,0.8,0.5,0.75
14.0,2.0,0.8571428571428571,,0.8571428571428571
14.0,3.0,0.3333333333333333,0.0,0.3
14.0,4.0,0.7142857142857143,0.0,0.625
14.0,5.0,0.3333333333333333,0.0,0.2
14.0,6.0,0.5,0.0,0.4444444444444444
14.0,7.0,0.36363636363636365,0.0,0.25
14.0,8.0,0.6,0.3333333333333333,0.5263157894736842
14.0,9.0,0.4444444444444444,0.0,0.3333333333333333
14.0,10.0,0.4666666666666667,,0.4666666666666667
14.0,11.0,0.42857142857142855,0.5,0.4444444444444444
14.0,12.0,0.5,0.5,0.5
14.0,13.0,0.5,0.16666666666666666,0.3333333333333333
14.0,14.0,0.3333333333333333,0.0,0.18181818181818182
14.0,15.0,0.2,,0.2
14.0,16.0,1.0,,1.0
14.0,17.0,0.5,0.5,0.5
14.0,18.0,1.0,,1.0
14.0,19.0,0.0,,0.0
14.0,20.0,0.0,,0.0
14.0,21.0,0.0,0.5,0.3333333333333333
14.0,22.0,0.5,0.0,0.3333333333333333
14.0,23.0,0.0,1.0,0.5
14.0,24.0,,0.0,0.0
14.0,25.0,,0.0,0.0
14.0,26.0,0.5,,0.5
15.0,1.0,0.6,0.2857142857142857,0.47058823529411764
15.0,2.0,0.7619047619047619,0.45454545454545453,0.65625
15.0,3.0,0.48484848484848486,0.1875,0.3384615384615385
15.0,4.0,0.631578947368421,0.23076923076923078,0.46875
15.0,5.0,0.21052631578947367,0.4166666666666667,0.32558139534883723
15.0,6.0,0.5185185185185185,0.14285714285714285,0.3902439024390244
15.0,7.0,0.42857142857142855,0.5,0.45454545454545453
15.0,8.0,0.8,0.13333333333333333,0.5142857142857142
15.0,9.0,0.5,0.21052631578947367,0.35135135135135137
15.0,10.0,0.525,0.38461538461538464,0.49056603773584906
15.0,11.0,0.7142857142857143,0.4,0.631578947368421
15.0,12.0,0.5,0.4166666666666667,0.45454545454545453
15.0,13.0,0.18181818181818182,0.2,0.1935483870967742
15.0,14.0,0.3333333333333333,0.0,0.13333333333333333
15.0,15.0,0.25,0.13636363636363635,0.18421052631578946
15.0,16.0,0.9090909090909091,1.0,0.9473684210526315
15.0,17.0,0.6923076923076923,0.75,0.72
15.0,18.0,0.4444444444444444,0.2857142857142857,0.375
15.0,19.0,0.5,0.3333333333333333,0.4
15.0,20.0,0.14285714285714285,0.0,0.0625
15.0,21.0,0.5,0.125,0.3333333333333333
15.0,22.0,0.3333333333333333,0.8,0.5
15.0,23.0,,0.5,0.5
15.0,24.0,0.2857142857142857,0.0,0.18181818181818182
15.0,25.0,0.3333333333333333,0.4444444444444444,0.38095238095238093
15.0,26.0,0.8461538461538461,0.5833333333333334,0.72
16.0,1.0,,1.0,1.0
16.0,3.0,,0.0,0.0
16.0,7.0,,0.0,0.0
16.0,8.0,,0.0,0.0
16.0,11.0,,0.0,0.0
16.0,12.0,,0.0,0.0
16.0,13.0,,0.0,0.0
16.0,14.0,,0.0,0.0
16.0,20.0,,0.0,0.0
17.0,3.0,1.0,,1.0
17.0,4.0,,0.0,0.0
17.0,8.0,,0.0,0.0
18.0,7.0,,0.0,0.0
18.0,14.0,,0.0,0.0
23.0,4.0,,0.0,0.0
25.0,5.0,,0.0,0.0
25.0,8.0,,0.0,0.0
25.0,9.0,,0.0,0.0
