hitter,hit_land_location,in_system_success,out_system_success,success rate
bic,1.0,0.5714285714285714,0.0,0.4
bic,2.0,0.8,0.0,0.5714285714285714
bic,3.0,0.46153846153846156,0.0,0.375
bic,4.0,0.8,0.0,0.6666666666666666
bic,5.0,0.3333333333333333,0.5,0.4
bic,6.0,0.25,0.0,0.15384615384615385
bic,7.0,0.25,0.1,0.16666666666666666
bic,8.0,0.2857142857142857,0.16666666666666666,0.23076923076923078
bic,9.0,0.5,,0.5
bic,10.0,1.0,0.0,0.5
bic,11.0,0.5,0.5,0.5
bic,12.0,0.25,0.0,0.16666666666666666
bic,13.0,0.3333333333333333,0.0,0.16666666666666666
bic,15.0,1.0,,1.0
bic,17.0,1.0,,1.0
bic,18.0,0.0,1.0,0.25
bic,19.0,0.25,,0.25
bic,20.0,0.2,0.0,0.16666666666666666
bic,21.0,,1.0,1.0
bic,22.0,0.0,,0.0
bic,24.0,0.0,,0.0
bic,25.0,1.0,0.0,0.5
bic,26.0,1.0,,1.0
blocked,8.0,,,
d-ball,1.0,0.3333333333333333,0.8571428571428571,0.7
d-ball,2.0,0.0,0.3333333333333333,0.23076923076923078
d-ball,3.0,0.8,0.14285714285714285,0.4166666666666667
d-ball,4.0,1.0,0.5,0.8
d-ball,5.0,0.6666666666666666,0.3333333333333333,0.5555555555555556
d-ball,6.0,0.25,0.0,0.2
d-ball,7.0,0.5,0.16666666666666666,0.25
d-ball,8.0,1.0,0.0,0.3333333333333333
d-ball,9.0,0.5,0.5,0.5
d-ball,10.0,1.0,0.5,0.6666666666666666
d-ball,11.0,0.0,0.0,0.0
d-ball,12.0,0.0,0.0,0.0
d-ball,13.0,,1.0,1.0
d-ball,14.0,,1.0,1.0
d-ball,15.0,,0.0,0.0
d-ball,16.0,0.5,,0.5
d-ball,17.0,0.0,0.0,0.0
d-ball,18.0,0.5,,0.5
d-ball,20.0,0.25,,0.25
d-ball,21.0,0.5,1.0,0.75
d-ball,22.0,1.0,0.0,0.3333333333333333
d-ball,23.0,0.0,1.0,0.5
