hitter_location,hit_land_location,in_system_attempts,out_system_attempts,total_attempts,in_system_success,out_system_success,success rate
1.0,8.0,0,2,2,,0.0,0.0
2.0,25.0,0,1,1,,0.0,0.0
3.0,3.0,0,1,1,,0.0,0.0
3.0,6.0,0,1,1,,0.0,0.0
3.0,7.0,0,1,1,,0.0,0.0
3.0,8.0,0,1,1,,0.0,0.0
4.0,2.0,0,1,1,,0.0,0.0
4.0,8.0,0,1,1,,0.0,0.0
5.0,1.0,0,1,1,,0.0,0.0
5.0,6.0,0,1,1,,0.0,0.0
6.0,1.0,3,6,9,0.3333333333333333,0.8333333333333334,0.6666666666666666
6.0,2.0,4,8,12,0.0,0.375,0.25
6.0,3.0,3,7,10,0.6666666666666666,0.14285714285714285,0.3
6.0,4.0,4,2,6,0.75,0.5,0.6666666666666666
6.0,5.0,5,1,6,0.6,1.0,0.6666666666666666
6.0,6.0,3,2,5,0.0,0.0,0.0
6.0,7.0,1,5,6,0.0,0.2,0.16666666666666666
6.0,8.0,2,5,7,1.0,0.0,0.2857142857142857
6.0,9.0,2,0,2,0.5,,0.5
6.0,10.0,1,2,3,1.0,0.5,0.6666666666666666
6.0,11.0,1,1,2,0.0,0.0,0.0
6.0,12.0,0,6,6,,0.0,0.0
6.0,13.0,0,2,2,,0.5,0.5
6.0,14.0,0,3,3,,1.0,1.0
6.0,15.0,0,4,4,,0.0,0.0
6.0,16.0,2,0,2,0.5,,0.5
6.0,17.0,1,2,3,0.0,0.5,0.3333333333333333
6.0,18.0,2,0,2,0.5,,0.5
6.0,20.0,5,0,5,0.4,,0.4
6.0,21.0,2,1,3,0.5,1.0,0.6666666666666666
6.0,22.0,1,2,3,1.0,0.0,0.3333333333333333
6.0,23.0,1,1,2,0.0,1.0,0.5
6.0,24.0,2,2,4,0.5,0.5,0.5
6.0,25.0,0,1,1,,1.0,1.0
7.0,1.0,0,1,1,,1.0,1.0
7.0,2.0,0,1,1,,0.0,0.0
7.0,3.0,0,1,1,,1.0,1.0
7.0,7.0,1,4,5,1.0,0.0,0.2
7.0,8.0,0,3,3,,0.3333333333333333,0.3333333333333333
7.0,9.0,0,2,2,,0.0,0.0
7.0,11.0,0,1,1,,1.0,1.0
7.0,17.0,0,1,1,,0.0,0.0
7.0,21.0,0,1,1,,0.0,0.0
