hitter,hit_land_location,in_system_attempts,out_system_attempts,total_attempts,in_system_success,out_system_success,success rate
bic,1.0,7,3,10,0.5714285714285714,0.0,0.4
bic,2.0,10,4,14,0.8,0.0,0.5714285714285714
bic,3.0,13,3,16,0.46153846153846156,0.0,0.375
bic,4.0,5,1,6,0.8,0.0,0.6666666666666666
bic,5.0,3,2,5,0.3333333333333333,0.5,0.4
bic,6.0,8,5,13,0.25,0.0,0.15384615384615385
bic,7.0,8,10,18,0.25,0.1,0.16666666666666666
bic,8.0,7,6,13,0.2857142857142857,0.16666666666666666,0.23076923076923078
bic,9.0,4,0,4,0.5,,0.5
bic,10.0,1,1,2,1.0,0.0,0.5
bic,11.0,2,2,4,0.5,0.5,0.5
bic,12.0,4,2,6,0.25,0.0,0.16666666666666666
bic,13.0,3,3,6,0.3333333333333333,0.0,0.16666666666666666
bic,15.0,2,0,2,1.0,,1.0
bic,17.0,2,0,2,1.0,,1.0
bic,18.0,3,1,4,0.0,1.0,0.25
bic,19.0,4,0,4,0.25,,0.25
bic,20.0,5,1,6,0.2,0.0,0.16666666666666666
bic,21.0,0,1,1,,1.0,1.0
bic,22.0,3,0,3,0.0,,0.0
bic,24.0,3,0,3,0.0,,0.0
bic,25.0,2,2,4,1.0,0.0,0.5
bic,26.0,1,0,1,1.0,,1.0
blocked,8.0,0,0,0,,,
d-ball,1.0,3,7,10,0.3333333333333333,0.8571428571428571,0.7
d-ball,2.0,4,9,13,0.0,0.3333333333333333,0.23076923076923078
d-ball,3.0,5,7,12,0.8,0.14285714285714285,0.4166666666666667
d-ball,4.0,3,2,5,1.0,0.5,0.8
d-ball,5.0,6,3,9,0.6666666666666666,0.3333333333333333,0.5555555555555556
d-ball,6.0,4,1,5,0.25,0.0,0.2
d-ball,7.0,2,6,8,0.5,0.16666666666666666,0.25
d-ball,8.0,2,4,6,1.0,0.0,0.3333333333333333
d-ball,9.0,2,2,4,0.5,0.5,0.5
d-ball,10.0,1,2,3,1.0,0.5,0.6666666666666666
d-ball,11.0,2,1,3,0.0,0.0,0.0
d-ball,12.0,1,5,6,0.0,0.0,0.0
d-ball,13.0,0,1,1,,1.0,1.0
d-ball,14.0,0,2,2,,1.0,1.0
d-ball,15.0,0,3,3,,0.0,0.0
d-ball,16.0,2,0,2,0.5,,0.5
d-ball,17.0,1,2,3,0.0,0.0,0.0
d-ball,18.0,2,0,2,0.5,,0.5
d-ball,20.0,5,0,5,0.4,,0.4
d-ball,21.0,2,2,4,0.5,1.0,0.75
d-ball,22.0,1,2,3,1.0,0.0,0.3333333333333333
d-ball,23.0,1,1,2,0.0,1.0,0.5
d-ball,24.0,2,3,5,0.5,0.3333333333333333,0.4
d-ball,25.0,0,1,1,,1.0,1.0
d-ball,26.0,0,2,2,,0.5,0.5
dump,1.0,0,0,2,,,0.5
dump,2.0,0,0,2,,,0.5
dump,3.0,0,0,2,,,1.0
dump,5.0,0,0,1,,,0.0
dump,7.0,0,0,5,,,0.2
dump,8.0,0,0,3,,,0.3333333333333333
dump,9.0,0,0,1,,,0.0
dump,10.0,0,0,2,,,0.0
dump,11.0,0,0,1,,,0.0
dump,12.0,0,0,2,,,0.0
dump,13.0,1,0,11,1.0,,0.18181818181818182
dump,14.0,0,0,3,,,0.0
dump,16.0,0,0,1,,,0.0
dump,17.0,0,0,1,,,0.0
dump,25.0,0,0,1,,,0.0
oppo,1.0,19,14,33,0.2631578947368421,0.6428571428571429,0.42424242424242425
oppo,2.0,12,4,16,0.6666666666666666,0.5,0.625
oppo,3.0,13,19,32,0.38461538461538464,0.47368421052631576,0.4375
oppo,4.0,8,4,12,0.625,0.5,0.5833333333333334
oppo,5.0,17,4,21,0.5294117647058824,0.5,0.5238095238095238
oppo,6.0,13,12,25,0.6923076923076923,0.3333333333333333,0.52
oppo,7.0,4,15,19,0.5,0.2,0.2631578947368421
oppo,8.0,8,12,20,0.5,0.0,0.2
oppo,9.0,5,6,11,0.6,0.0,0.2727272727272727
oppo,10.0,10,5,15,0.5,0.2,0.4
oppo,11.0,12,10,22,0.08333333333333333,0.2,0.13636363636363635
oppo,12.0,7,17,24,0.14285714285714285,0.0,0.041666666666666664
oppo,13.0,7,14,21,0.0,0.21428571428571427,0.14285714285714285
oppo,14.0,6,9,15,0.16666666666666666,0.2222222222222222,0.2
oppo,15.0,7,6,13,0.2857142857142857,0.3333333333333333,0.3076923076923077
oppo,16.0,4,2,6,0.75,1.0,0.8333333333333334
oppo,17.0,14,7,21,0.5714285714285714,0.42857142857142855,0.5238095238095238
oppo,18.0,2,7,9,0.5,0.42857142857142855,0.4444444444444444
oppo,19.0,0,1,1,,0.0,0.0
oppo,20.0,2,5,7,0.5,0.0,0.14285714285714285
oppo,21.0,5,2,7,0.2,0.0,0.14285714285714285
oppo,22.0,3,1,4,0.3333333333333333,0.0,0.25
oppo,23.0,1,1,2,1.0,1.0,1.0
oppo,24.0,9,1,10,0.3333333333333333,1.0,0.4
oppo,25.0,8,3,11,0.5,0.6666666666666666,0.5454545454545454
oppo,26.0,5,3,8,1.0,1.0,1.0
outside,1.0,19,16,35,0.5789473684210527,0.3125,0.45714285714285713
outside,2.0,22,13,35,0.7272727272727273,0.38461538461538464,0.6
outside,3.0,33,37,70,0.45454545454545453,0.16216216216216217,0.3
outside,4.0,20,16,36,0.7,0.1875,0.4722222222222222
outside,5.0,19,29,48,0.21052631578947367,0.3793103448275862,0.3125
outside,6.0,25,18,43,0.48,0.1111111111111111,0.32558139534883723
outside,7.0,14,14,28,0.42857142857142855,0.35714285714285715,0.39285714285714285
outside,8.0,21,24,45,0.7619047619047619,0.08333333333333333,0.4
outside,9.0,19,28,47,0.5263157894736842,0.10714285714285714,0.2765957446808511
outside,10.0,39,14,53,0.5128205128205128,0.42857142857142855,0.49056603773584906
outside,11.0,15,7,22,0.7333333333333333,0.42857142857142855,0.6363636363636364
outside,12.0,12,15,27,0.5,0.4666666666666667,0.48148148148148145
outside,13.0,11,29,40,0.18181818181818182,0.1724137931034483,0.175
outside,14.0,12,26,38,0.25,0.0,0.07894736842105263
outside,15.0,17,24,41,0.29411764705882354,0.125,0.1951219512195122
outside,16.0,11,11,22,0.9090909090909091,1.0,0.9545454545454546
outside,17.0,12,15,27,0.75,0.6666666666666666,0.7037037037037037
outside,18.0,8,7,15,0.5,0.2857142857142857,0.4
outside,19.0,2,3,5,0.5,0.3333333333333333,0.4
outside,20.0,7,9,16,0.14285714285714285,0.0,0.0625
outside,21.0,11,10,21,0.5454545454545454,0.2,0.38095238095238093
outside,22.0,9,6,15,0.3333333333333333,0.6666666666666666,0.4666666666666667
outside,23.0,0,7,7,,0.5714285714285714,0.5714285714285714
outside,24.0,7,5,12,0.2857142857142857,0.0,0.16666666666666666
outside,25.0,12,10,22,0.3333333333333333,0.4,0.36363636363636365
outside,26.0,13,12,25,0.8461538461538461,0.5833333333333334,0.72
quick,1.0,23,0,23,0.6521739130434783,,0.6521739130434783
quick,2.0,20,1,21,0.7,0.0,0.6666666666666666
quick,3.0,27,1,28,0.48148148148148145,0.0,0.4642857142857143
quick,4.0,20,0,20,0.7,,0.7
quick,5.0,12,0,12,0.3333333333333333,,0.3333333333333333
quick,6.0,31,1,32,0.5806451612903226,0.0,0.5625
quick,7.0,27,0,27,0.5185185185185185,,0.5185185185185185
quick,8.0,40,4,44,0.625,0.5,0.6136363636363636
quick,9.0,30,0,30,0.4,,0.4
quick,10.0,27,1,28,0.48148148148148145,0.0,0.4642857142857143
quick,11.0,16,0,16,0.3125,,0.3125
quick,12.0,11,1,12,0.36363636363636365,0.0,0.3333333333333333
quick,13.0,20,2,22,0.25,0.5,0.2727272727272727
quick,14.0,14,0,14,0.42857142857142855,,0.42857142857142855
quick,15.0,5,1,6,0.2,0.0,0.16666666666666666
quick,16.0,4,0,4,1.0,,1.0
quick,17.0,5,0,5,0.6,,0.6
quick,18.0,6,0,6,0.3333333333333333,,0.3333333333333333
quick,19.0,3,0,3,0.3333333333333333,,0.3333333333333333
quick,20.0,2,1,3,0.0,0.0,0.0
quick,21.0,4,0,4,0.5,,0.5
quick,22.0,7,0,7,0.5714285714285714,,0.5714285714285714
quick,23.0,3,0,3,0.3333333333333333,,0.3333333333333333
quick,24.0,4,0,4,0.25,,0.25
quick,25.0,2,0,2,0.0,,0.0
quick,26.0,2,0,2,0.5,,0.5
